,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Husavik,32,IS,1625807456,76,66.0449,-17.3389,54.81,2.51
1,Karasburg,80,NA,1625807458,71,-28.0167,18.75,45.32,4.63
2,Atuona,7,PF,1625807460,74,-9.8,-139.0333,78.55,18.95
3,Castro,0,BR,1625807462,92,-24.7911,-50.0119,45.84,3.76
4,Kapaa,40,US,1625807464,78,22.0752,-159.319,80.92,3.0
5,Punta Arenas,0,CL,1625807466,86,-53.15,-70.9167,33.82,5.75
6,Lata,0,PT,1625807467,88,40.1629,-8.3327,57.81,3.0
7,Lima,90,PE,1625807305,77,-12.0432,-77.0282,61.05,9.22
8,Naryan-Mar,67,RU,1625807471,67,67.6713,53.087,71.56,20.62
9,Rocha,6,UY,1625807473,82,-34.4833,-54.3333,53.76,8.52
10,Upernavik,33,GL,1625807475,88,72.7868,-56.1549,35.11,11.5
11,Santa Rosa,94,PH,1625807477,68,14.3122,121.1114,88.86,12.39
12,Līsakovsk,92,KZ,1625807478,34,52.5369,62.4936,73.85,28.21
13,Chui,3,UY,1625807480,91,-33.6971,-53.4616,53.06,5.75
14,Busselton,69,AU,1625807467,84,-33.65,115.3333,54.05,25.01
15,Zhigalovo,44,RU,1625807485,34,54.8097,105.1578,70.65,7.23
16,Albany,100,US,1625807238,95,42.6001,-73.9662,69.73,6.49
17,Muros,15,ES,1625807488,89,42.7762,-9.0603,59.85,8.43
18,Hithadhoo,100,MV,1625807490,73,-0.6,73.0833,84.31,15.32
19,Mataura,100,NZ,1625807492,90,-46.1927,168.8643,37.08,10.36
20,Peterhead,100,GB,1625807494,98,57.5058,-1.7981,55.8,2.86
21,Belomorsk,81,RU,1625807496,46,64.5232,34.7668,72.45,8.81
22,Bilibino,100,RU,1625807498,40,68.0546,166.4372,66.85,4.34
23,Dikson,100,RU,1625807501,97,73.5069,80.5464,36.95,19.66
24,Grand Gaube,89,MU,1625807503,71,-20.0064,57.6608,76.37,8.99
25,São José da Coroa Grande,18,BR,1625807505,85,-8.8978,-35.1478,73.51,4.85
26,Isangel,62,VU,1625807507,64,-19.55,169.2667,73.31,11.9
27,Cam Ranh,40,VN,1625807509,62,11.9214,109.1591,87.76,10.36
28,Bariloche,40,AR,1625807511,81,-41.1456,-71.3082,38.95,13.8
29,New Norfolk,26,AU,1625807513,54,-42.7826,147.0587,51.75,1.05
30,Nalgonda,100,IN,1625807515,77,17.05,79.2667,80.26,5.19
31,Ribeira Grande,3,PT,1625807516,92,38.5167,-28.7,70.45,7.99
32,Nikolskoye,17,RU,1625807518,83,59.7035,30.7861,75.4,2.91
33,Bluff,88,NZ,1625807520,74,-46.6,168.3333,41.32,25.66
34,Bhadrāchalam,87,IN,1625807522,54,17.6667,80.8833,91.17,2.28
35,Severo-Yeniseyskiy,100,RU,1625807524,57,60.3725,93.0408,60.37,4.0
36,Jumla,99,NP,1625807526,63,29.2747,82.1838,73.31,4.94
37,Bosaso,100,SO,1625807528,41,11.2842,49.1816,89.85,23.24
38,Lebu,99,CL,1625807530,90,-37.6167,-73.65,51.87,7.54
39,Chinhoyi,0,ZW,1625807532,66,-17.3667,30.2,49.17,3.22
40,Fortuna,90,US,1625807534,93,40.5982,-124.1573,56.66,6.91
41,Peniche,1,PT,1625807536,90,39.3558,-9.3811,62.73,18.84
42,Nhulunbuy,40,AU,1625807538,65,-12.2333,136.7667,83.01,17.27
43,Sechura,12,PE,1625807540,78,-5.5569,-80.8222,66.99,10.6
44,Ushuaia,40,AR,1625807542,65,-54.8,-68.3,38.86,3.44
45,Mehamn,75,NO,1625807544,81,71.0357,27.8492,49.95,14.97
46,Tezu,100,IN,1625807546,64,27.9167,96.1667,88.84,2.1
47,Gemena,80,CD,1625807548,91,3.25,19.7667,69.17,1.97
48,Hilo,1,US,1625807550,80,19.7297,-155.09,77.29,3.44
49,Katsuura,97,JP,1625807552,89,35.1333,140.3,80.62,4.74
50,Rikitea,37,PF,1625807554,78,-23.1203,-134.9692,74.07,13.62
51,Flinders,100,AU,1625807556,85,-34.5833,150.8552,56.37,1.01
52,Hobart,20,AU,1625807459,65,-42.8794,147.3294,52.11,1.01
53,Cape Town,35,ZA,1625807455,93,-33.9258,18.4232,50.11,6.93
54,Gurupi,49,BR,1625807561,32,-11.7292,-49.0686,73.62,4.27
55,Timrå,20,SE,1625807563,77,62.487,17.3257,66.67,5.75
56,Airai,69,TL,1625807565,43,-8.9266,125.4092,75.38,3.74
57,Faya,16,SA,1625807567,27,18.3851,42.4509,75.72,9.42
58,Butaritari,28,KI,1625807569,76,3.0707,172.7902,83.61,18.16
59,Klaksvík,83,FO,1625807571,86,62.2266,-6.589,52.72,3.42
60,Ayotzintepec,100,MX,1625807575,97,17.6667,-96.1333,74.68,3.36
61,Mamlyutka,97,KZ,1625807576,40,54.9375,68.5394,77.02,9.04
62,Hong Kong,7,HK,1625807295,72,22.2855,114.1577,91.96,1.01
63,Provideniya,75,RU,1625807580,76,64.3833,-173.3,50.11,8.95
64,Severnyy,0,RU,1625807582,64,50.677,36.5532,69.84,6.71
65,Port Hedland,0,AU,1625807584,20,-20.3167,118.5667,82.45,9.22
66,São João da Barra,8,BR,1625807586,94,-21.6403,-41.0511,63.93,6.24
67,Cimişlia,1,MD,1625807588,68,46.52,28.7842,69.94,7.83
68,Thompson,82,CA,1625807590,52,55.7435,-97.8558,67.5,4.7
69,Yangi Marg`ilon,0,UZ,1625807592,26,40.4272,71.7189,93.92,13.8
70,Khovu-Aksy,63,RU,1625807594,44,51.1333,93.6,66.36,3.8
71,Fallon,6,US,1625807596,12,39.4735,-118.7774,88.29,7.78
72,Taywarah,0,AF,1625807598,15,33.35,64.4167,75.36,9.73
73,Tiznit Province,0,MA,1625807600,63,29.5833,-9.5,67.3,1.23
74,Portland,20,US,1625807324,68,45.5234,-122.6762,70.45,1.01
75,Tuktoyaktuk,86,CA,1625807603,80,69.4541,-133.0374,48.52,3.76
76,Tabou,99,CI,1625807605,85,4.423,-7.3528,76.26,9.28
77,Hermanus,8,ZA,1625807607,77,-34.4187,19.2345,49.89,13.15
78,Nānākuli,1,US,1625807609,63,21.3906,-158.1547,81.99,5.75
79,Rocky Mountain House,1,CA,1625807611,82,52.3668,-114.9188,61.83,7.09
80,Saldanha,14,ZA,1625807613,64,-33.0117,17.9442,53.67,5.14
81,Kaitangata,80,NZ,1625807615,74,-46.2817,169.8464,39.92,18.05
82,Bredasdorp,8,ZA,1625807617,82,-34.5322,20.0403,43.29,7.58
83,Tsuruoka,100,JP,1625807619,73,38.7217,139.8217,80.13,10.94
84,Asău,0,RO,1625807620,78,46.4333,26.4,74.75,0.65
85,Bambous Virieux,98,MU,1625807622,78,-20.3428,57.7575,76.21,23.35
86,Margate,10,GB,1625807624,96,51.3813,1.3862,60.69,1.01
87,Samagaltay,90,RU,1625807626,30,50.6022,95.0047,70.27,3.06
88,Hasaki,78,JP,1625807628,86,35.7333,140.8333,77.4,7.63
89,Shimoda,80,JP,1625807630,84,34.6667,138.95,77.36,4.14
90,Namtsy,73,RU,1625807632,28,62.7161,129.6658,82.51,16.04
91,Arraial do Cabo,1,BR,1625807634,87,-22.9661,-42.0278,66.87,4.05
92,Ancud,100,CL,1625807636,79,-41.8697,-73.8203,46.22,20.11
93,Yilan,13,TW,1625807638,57,24.757,121.753,98.46,8.59
94,Placerville,1,US,1625807640,28,38.7296,-120.7986,87.03,0.0
95,Mar del Plata,100,AR,1625807642,63,-38.0023,-57.5575,55.13,5.01
96,Clyde River,90,CA,1625807643,93,70.4692,-68.5914,34.03,12.66
97,Puerto Ayora,66,EC,1625807645,87,-0.7393,-90.3518,71.56,9.73
98,Tautira,1,PF,1625807647,73,-17.7333,-149.15,78.82,10.78
99,Beyla,67,GN,1625807649,95,8.6833,-8.6333,68.25,5.84
100,San Patricio,100,US,1625807651,90,28.017,-97.5169,82.27,12.24
101,Nagato,100,JP,1625807653,95,34.3833,131.2,76.73,8.5
102,Bemidji,1,US,1625807640,90,47.4736,-94.8803,56.64,0.0
103,Moindou,15,NC,1625807657,57,-21.6924,165.677,76.95,5.37
104,Tilichiki,0,RU,1625807659,49,60.4667,166.1,68.67,14.29
105,Boden,0,SE,1625807660,52,65.8252,21.6886,66.2,3.8
106,Mahébourg,98,MU,1625807662,79,-20.4081,57.7,76.24,23.73
107,Ivanovice na Hané,92,CZ,1625807665,91,49.3054,17.0934,71.89,3.29
108,Guiratinga,0,BR,1625807667,37,-16.3494,-53.7583,62.73,4.88
109,Erbil,0,IQ,1625807669,14,36.1926,44.0106,96.62,5.75
110,Ahipara,10,NZ,1625807671,79,-35.1667,173.1667,55.22,13.24
111,Khatanga,100,RU,1625807673,56,71.9667,102.5,42.26,14.43
112,Hangu,47,CN,1625807675,60,39.2489,117.7892,86.04,4.7
113,Poum,46,NC,1625807677,68,-20.2333,164.0167,73.04,16.51
114,Avarua,75,CK,1625807679,88,-21.2078,-159.775,75.25,2.3
115,George Town,20,MY,1625807636,74,5.4112,100.3354,85.95,3.44
116,Nome,90,US,1625807682,87,64.5011,-165.4064,48.27,4.61
117,Port Alberni,14,CA,1625807685,82,49.2413,-124.8028,67.14,4.92
118,Bethel,90,US,1625807687,94,41.3712,-73.414,71.56,3.44
119,Rundu,0,NA,1625807689,55,-17.9333,19.7667,46.78,5.1
120,Yellowknife,0,CA,1625807411,46,62.456,-114.3525,73.56,8.01
121,Biak,92,ID,1625807693,75,-0.9131,122.8766,81.01,9.69
122,Jamestown,90,US,1625807542,97,42.097,-79.2353,69.12,1.99
123,Huarmey,8,PE,1625807696,86,-10.0681,-78.1522,63.07,6.69
124,Longyearbyen,75,SJ,1625807698,87,78.2186,15.6401,40.84,13.8
125,Ambovombe,0,MG,1625807700,74,-25.1667,46.0833,66.2,5.86
126,Severo-Kuril'sk,100,RU,1625807702,85,50.6789,156.125,51.33,13.35
127,Hinton,71,CA,1625807705,54,53.4001,-117.5857,66.11,1.28
128,Kavieng,60,PG,1625807707,69,-2.5744,150.7967,85.03,13.33
129,Tavatuy,14,RU,1625807709,46,57.0703,60.1336,76.12,5.01
130,Pecos,1,US,1625807696,47,31.4229,-103.4932,83.3,9.22
131,Ambulu,28,ID,1625807712,72,-8.345,113.6058,83.93,7.63
132,Port Alfred,49,ZA,1625807714,63,-33.5906,26.891,53.83,19.66
133,Parczew,0,PL,1625807716,77,51.6402,22.9006,72.25,11.7
134,Nicolás Bravo,77,MX,1625807718,98,18.45,-88.9167,80.96,4.54
135,Alice Springs,0,AU,1625807614,23,-23.7,133.8833,69.35,8.05
136,Dolgoye,42,RU,1625807721,68,52.8,37.2167,70.48,5.79
137,Sakakah,0,SA,1625807723,12,29.9697,40.2064,94.39,5.97
138,Bereda,35,ES,1625807725,99,43.2686,-7.5406,57.92,1.57
139,Tura,87,IN,1625807727,65,25.5198,90.2201,86.74,4.5
140,Vaini,75,TO,1625807729,68,-21.2,-175.2,71.76,8.05
141,Simao,87,CN,1625807731,74,22.7886,100.9748,76.24,4.07
142,Talnakh,97,RU,1625807733,36,69.4865,88.3972,54.01,5.77
143,Ilulissat,0,GL,1625807736,52,69.2167,-51.1,42.82,9.22
144,Luanda,40,AO,1625807738,88,-8.8368,13.2343,69.8,6.91
145,Carnarvon,2,AU,1625807466,56,-24.8667,113.6333,66.97,8.19
146,Quang Ngai,55,VN,1625807741,53,15.1167,108.8,91.13,11.83
147,Padang,23,ID,1625807744,67,-0.9492,100.3543,86.05,5.06
148,Barrow,90,US,1625807746,87,71.2906,-156.7887,35.62,11.5
149,Qaanaaq,100,GL,1625807748,97,77.484,-69.3632,34.75,4.52
150,Methóni,0,GR,1625807750,66,36.8197,21.7049,80.22,3.58
151,Nishihara,75,JP,1625807752,72,26.1842,127.7558,89.26,8.05
152,Santa Maria,0,BR,1625807755,91,-29.6842,-53.8069,54.88,4.16
153,Mahanoro,92,MG,1625807757,87,-19.9,48.8,67.14,5.14
154,Rāzole,36,IN,1625807758,45,16.4833,81.8333,88.09,7.2
155,Vestmannaeyjar,96,IS,1625807760,94,63.4427,-20.2734,52.88,9.48
156,Kavaratti,100,IN,1625807762,78,10.5669,72.642,82.83,22.19
157,Leshukonskoye,87,RU,1625807764,55,64.8989,45.7622,74.93,9.82
158,Sept-Îles,75,CA,1625807767,87,50.2001,-66.3821,51.06,5.01
159,Kruisfontein,9,ZA,1625807769,57,-34.0033,24.7314,47.88,14.38
160,Coos Bay,75,US,1625807771,85,43.3665,-124.2179,58.23,9.22
161,Saint Anthony,20,US,1625807772,77,45.0205,-93.218,66.52,1.01
162,Dergaon,92,IN,1625807775,70,26.7,93.9667,88.93,3.87
163,Riyadh,0,SA,1625807777,9,24.6877,46.7219,95.14,3.36
164,Hamilton,20,US,1625807700,93,39.1834,-84.5333,73.62,1.01
165,Mbanza-Ngungu,25,CD,1625807780,96,-5.25,14.8667,60.4,3.69
166,Cheremnoye,27,RU,1625807782,50,53.1697,83.2133,72.19,10.56
167,Saint-Philippe,95,RE,1625807784,85,-21.3585,55.7679,75.47,18.3
168,Inverell,93,AU,1625807786,82,-29.7833,151.1167,55.67,3.0
169,Agadez,33,NE,1625807788,40,19.75,10.25,82.56,7.34
170,Ipixuna,77,BR,1625807790,97,-1.7625,-48.8043,76.95,3.29
171,Solnechnyy,41,RU,1625807792,58,50.7214,136.6319,80.49,9.53
172,Temozon,100,MX,1625807793,89,20.8,-88.2167,76.55,4.85
173,Artvin Province,60,TR,1625807795,66,41.1667,41.8333,65.48,1.77
174,Khasan,100,RU,1625807797,96,42.4308,130.6434,65.12,9.46
175,Ishigaki,40,JP,1625807799,70,24.3448,124.1572,89.73,12.66
176,Hobyo,61,SO,1625807801,69,5.3505,48.5268,79.05,26.78
177,Guerrero Negro,38,MX,1625807803,82,27.9769,-114.0611,68.07,11.01
178,Kalmunai,33,LK,1625807805,56,7.4167,81.8167,89.42,2.35
179,Vostok,81,RU,1625807807,70,46.4856,135.8833,73.11,3.67
180,Inírida,99,CO,1625807809,99,3.8653,-67.9239,72.16,1.43
181,Cherskiy,97,RU,1625807810,40,68.75,161.3,71.17,13.58
182,Nieuw Amsterdam,89,SR,1625807812,93,5.8833,-55.0833,77.02,6.42
183,Port Elizabeth,29,ZA,1625807601,60,-33.918,25.5701,50.09,16.08
184,Obsharovka,5,RU,1625807816,54,53.125,48.8531,77.36,11.95
185,St. George's,100,GD,1625807818,77,12.0564,-61.7485,79.7,18.99
186,Ponta do Sol,10,PT,1625807820,73,32.6667,-17.1,69.01,7.83
187,Cedar City,1,US,1625807667,13,37.6775,-113.0619,83.37,6.91
188,Agua Verde,65,MX,1625807823,79,22.9,-106.05,82.13,4.23
189,Pisco,1,PE,1625807825,87,-13.7,-76.2167,57.02,4.61
190,Wawa,78,NG,1625807827,87,9.9022,4.4192,73.9,7.27
191,Marathon,40,US,1625807830,90,44.9,-89.7668,58.95,5.75
192,Galesong,76,ID,1625807832,71,-5.3166,119.3661,87.82,3.83
193,Bihārīganj,77,IN,1625807835,61,25.7333,86.9833,90.48,11.43
194,Labuhan,80,ID,1625807837,62,-6.8844,112.2051,86.34,8.3
195,Iralaya,8,HN,1625807839,85,15.0,-83.2333,80.89,15.48
196,Touros,25,BR,1625807841,92,-5.1989,-35.4608,74.3,10.94
197,Yantzaza,66,EC,1625807843,98,-3.8278,-78.7594,64.74,0.98
198,Roseville,1,US,1625807844,31,38.7521,-121.288,89.83,1.99
199,Chicama,34,PE,1625807846,88,-7.8447,-79.1469,63.23,4.21
200,Kenai,1,US,1625807848,77,60.5544,-151.2583,53.65,12.66
201,Munteni Buzău,0,RO,1625807850,75,44.6333,26.9833,76.37,7.18
202,Saint George,1,US,1625807852,17,37.1041,-113.5841,100.35,1.99
203,Mazamari,89,PE,1625807854,76,-11.3258,-74.5308,72.32,0.34
204,Gao,100,ML,1625807856,69,16.6362,1.637,76.91,26.02
205,Snyder,1,US,1625807858,78,32.7179,-100.9176,77.14,8.05
206,Kropotkin,0,RU,1625807860,49,45.4375,40.5756,72.99,12.66
207,Marolambo,100,MG,1625807861,95,-20.05,48.1167,61.18,2.01
208,Lorengau,43,PG,1625807864,72,-2.0226,147.2712,84.02,8.25
209,Khandyga,6,RU,1625807866,31,62.6667,135.6,85.42,8.19
210,Jiuquan,100,CN,1625807868,24,39.7432,98.5174,85.84,6.38
211,Belfast,75,GB,1625807870,95,54.5833,-5.9333,57.79,2.3
212,Shelburne,100,CA,1625807710,100,44.0787,-80.2041,61.29,5.32
213,Solok,42,ID,1625807873,56,-0.7918,100.6593,81.55,2.39
214,Kočevje,11,SI,1625807875,85,45.6433,14.8633,72.52,3.0
215,Udachny,100,RU,1625807877,89,66.4167,112.4,44.8,19.15
216,Patacamaya,0,BO,1625807879,70,-17.2333,-67.9167,41.94,3.71
217,Saint Paul Harbor,90,US,1625807881,71,57.79,-152.4072,54.91,0.0
218,Garoowe,72,SO,1625807883,52,8.4054,48.4845,77.95,30.62
219,Katete,88,UG,1625807885,75,-0.7818,29.7544,63.81,1.01
220,Onega,84,RU,1625807887,75,63.9061,38.1404,64.83,6.6
221,Pinotepa Nacional,100,MX,1625807888,92,16.3167,-98.0167,76.01,3.49
222,Zyryanovsk,77,KZ,1625807890,54,49.7386,84.2719,77.45,3.22
223,Nyurba,94,RU,1625807892,34,63.2842,118.3319,73.36,16.35
224,Aksu,0,CN,1625807894,24,41.1231,80.2644,89.08,8.34
225,Waitati,96,NZ,1625807896,57,-45.75,170.5667,42.8,17.11
226,San Juan de los Lagos,99,MX,1625807898,87,21.25,-102.3,63.7,4.85
227,Betioky,0,MG,1625807900,55,-23.7167,44.3833,65.46,10.22
228,Palu,100,ID,1625807813,91,-0.8917,119.8707,80.76,3.18
229,Nadym,72,RU,1625807903,39,65.5333,72.5167,71.1,17.67
230,Wahiawā,1,US,1625807905,71,21.5028,-158.0236,78.76,6.91
231,Ialibu,39,PG,1625807907,85,-6.2821,143.9935,65.03,3.13
232,Matara,87,LK,1625807909,82,5.9485,80.5353,82.15,13.13
233,Kuytun,18,RU,1625807911,44,54.3419,101.5036,66.56,0.83
234,Hofn,25,IS,1625807913,84,64.2539,-15.2082,52.3,1.74
235,Constitución,100,CL,1625807915,92,-35.3333,-72.4167,50.5,8.84
236,Maputo,0,MZ,1625807695,85,-25.9653,32.5892,61.23,8.99
237,Boddam,100,GB,1625807919,97,57.4667,-1.7833,56.39,2.17
238,Berlevåg,75,NO,1625807921,93,70.8578,29.0864,53.4,19.57
239,Srednekolymsk,91,RU,1625807923,31,67.45,153.6833,90.73,9.57
240,Yenagoa,99,NG,1625807926,93,4.9247,6.2642,73.99,2.86
241,Lakselv,75,NO,1625807928,82,70.0513,24.9718,57.02,9.22
242,Bell Ville,4,AR,1625807929,67,-32.6259,-62.6887,60.96,10.0
243,Ciudad del Carmen,100,MX,1625807931,70,18.6333,-91.8333,85.41,15.08
244,East London,0,ZA,1625807933,54,-33.0153,27.9116,56.34,12.66
245,Senica,74,SK,1625807935,74,48.6792,17.367,76.78,3.44
246,Caxito,42,AO,1625807937,98,-8.5785,13.6643,70.45,3.0
247,Minot,20,US,1625807752,91,48.2325,-101.2963,63.59,11.01
248,Ust'-Omchug,94,RU,1625807941,63,61.15,149.6333,65.01,11.36
249,Villa Bruzual,29,VE,1625807943,97,9.3328,-69.1208,70.66,4.03
250,Kabare,97,CD,1625807945,78,-2.4683,28.8242,61.97,1.03
251,Petrovskoye,6,RU,1625807947,60,57.0104,39.2693,74.93,4.07
252,Yar-Sale,100,RU,1625807950,52,66.8333,70.8333,68.61,19.73
253,Te Anau,98,NZ,1625807952,94,-45.4167,167.7167,40.5,2.19
254,Itapecerica,0,BR,1625807953,60,-20.4725,-45.1256,53.37,2.62
255,Promyshlennovskiy,53,RU,1625807955,51,55.4833,86.2,72.37,3.6
256,Camacha,75,PT,1625807957,64,33.0833,-16.3333,65.62,19.57
257,Pergamino,21,AR,1625807959,83,-33.89,-60.5736,60.51,9.31
258,Decatur,1,US,1625807678,100,39.8403,-88.9548,65.95,3.44
259,Gezing,75,AT,1625807963,98,47.9178,13.1299,61.97,1.14
260,Zhangjiakou Shi Xuanhua Qu,85,CN,1625807965,31,40.6103,115.0447,89.85,2.44
261,Sonoita,97,MX,1625807967,50,31.85,-112.8333,92.53,5.08
262,Shingū,96,JP,1625807969,74,33.7333,135.9833,81.91,12.28
263,Tasiilaq,100,GL,1625807971,68,65.6145,-37.6368,41.16,5.57
264,Olafsvik,56,IS,1625807972,95,64.8945,-23.7142,51.28,12.88
265,Moyale,100,KE,1625807975,71,3.5167,39.0584,63.72,11.16
266,Raudeberg,98,NO,1625807977,95,61.9875,5.1352,61.2,4.76
267,Sola,93,VU,1625807979,73,-13.8833,167.55,79.95,22.57
268,Wajir,99,KE,1625807981,64,1.7471,40.0573,75.2,17.76
269,Sovetskaya Gavan',89,RU,1625807983,80,48.9723,140.2878,63.79,10.65
270,Sambava,75,MG,1625807984,80,-14.2667,50.1667,72.77,12.57
271,Geraldton,75,AU,1625807987,94,-28.7667,114.6,59.41,17.27
272,Pringsewu,47,ID,1625807989,51,-5.3582,104.9744,90.0,4.03
273,São Filipe,54,CV,1625807991,79,14.8961,-24.4956,73.83,8.99
274,Chokurdakh,96,RU,1625807993,54,70.6333,147.9167,75.58,11.81
275,Port Blair,75,IN,1625807995,84,11.6667,92.75,84.24,12.66
276,Altay,62,CN,1625807997,36,47.8667,88.1167,83.93,13.33
277,Behshahr,78,IR,1625807998,68,36.6923,53.5526,84.15,4.88
278,Redondo,0,PT,1625808000,56,38.6487,-7.5471,61.18,5.99
279,Anadyr,20,RU,1625808004,45,64.75,177.4833,66.7,20.13
280,Chapais,100,CA,1625808006,65,49.7834,-74.8492,56.98,4.47
281,Benguela,0,AO,1625808008,87,-12.5763,13.4055,66.85,2.48
282,Mount Isa,0,AU,1625808010,12,-20.7333,139.5,76.77,12.66
283,Nangomba,26,TZ,1625808011,73,-10.9,38.5,67.96,5.95
284,Oxapampa,86,PE,1625808013,94,-10.5775,-75.4017,58.32,1.36
285,Bathsheba,29,BB,1625808015,78,13.2167,-59.5167,79.47,17.34
286,Port Lincoln,43,AU,1625808018,66,-34.7333,135.8667,59.59,11.3
287,Pevek,99,RU,1625808020,88,69.7008,170.3133,39.04,6.53
288,Takoradze,96,GH,1625808022,89,4.8845,-1.7554,75.27,9.48
289,Aswān,1,EG,1625808023,23,24.0934,32.907,90.3,13.27
